GeoType,GEOID,GeoName,TotalPop,discuss,discussOppose,CO2limits,CO2limitsOppose,trustclimsciSST,trustclimsciSSTOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,fundrenewables,fundrenewablesOppose,mediaweekly,mediaweeklyOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose
State,17,Illinois,8560555,33.781,28.607,74.267,23.969,72.453,23.948,77.768,20.531,68.126,30.452,85.456,13.121,24.317,75.292,72.649,10.338,55.534,31.228,51.04,26.509,59.809,39.998,39.689,49.614,58.516,31.703,64.691,23.152,72.624,16.31,73.134,17.138,50.822,48.549
State,18,Indiana,4287819,28.918,33.002,62.248,36.259,67.185,29.755,70.552,28.191,61.507,37.728,81.25,18.153,24.607,74.66,64.138,16.343,48.545,36.126,43.181,31.903,49.34,50.732,33.877,54.562,51.34,38.529,55.603,31.137,63.608,23.68,63.175,25.867,44.771,54.943
State,19,Iowa,2038942,31.987,29.149,66.472,32.771,69.055,27.205,74.03,24.219,65.029,33.065,83.906,14.834,29.354,70.612,66.872,14.315,51.706,33.892,46.533,31.115,54.68,45.368,33.48,56.982,52.395,38.784,60.238,29.243,70.376,20.672,67.505,23.392,44.004,55.417
State,20,Kansas,1861894,30.398,33.028,62.802,36.341,66.437,31.019,70.08,28.742,62.748,34.677,80.706,18.014,25.298,74.343,65.328,17.187,48.464,35.647,42.746,34.551,52.132,47.777,34.632,55.624,51.945,39.297,57.274,31.409,64.856,24.709,63.182,26.321,45.382,54.406
State,21,Kentucky,2939709,27.966,35.71,58.245,40.627,65.535,31.944,69.808,29.589,59.353,40.62,79.128,20.369,23.721,75.055,62.392,18.333,45.918,38.134,40.43,34.091,48.179,51.815,33.618,55.846,50.327,39.91,55.155,33.084,62.43,26.249,62.017,28.388,44.062,55.591
State,22,Louisiana,3010828,29.059,38.3,64.391,34.54,67.459,29.509,70.664,28.111,61.801,37.031,78.716,20.77,21.214,78.259,65.452,13.61,48.529,35.867,41.623,29.689,53.423,46.633,37.164,49.684,53.706,33.838,56.895,27.122,64.157,21.259,61.934,23.419,48.395,51.034
State,23,Maine,947959,34.736,26.985,66.052,32.534,73.637,25.174,75.774,24.014,67.259,31.885,83.407,16.755,27.188,72.35,69.178,13.789,52.548,32.779,51.418,28.543,55.915,44.285,36.586,56.82,57.421,36.103,62.862,28.786,71.029,21.124,69.155,23.534,49.498,50.219
State,24,Maryland,3973193,35.264,30.294,75.136,23.336,76.687,21.08,78.321,19.484,69.875,28.589,85.811,12.931,23.655,75.892,75.139,8.32,57.944,29.271,55.268,23.132,63.227,36.712,43.11,45.521,61.852,27.421,67.741,20.161,74.499,14.219,73.999,15.257,55.154,44.246
State,25,Massachusetts,4561346,37.964,24.982,73.522,25.083,76.059,22.532,78.481,20.797,70.964,27.769,85.285,14.33,25.928,73.387,73.947,10.768,55.928,30.457,57.217,25.923,61.777,38.21,41.766,50.322,61.901,31.335,68.126,23.789,75.146,17.476,75.166,18.229,53.772,45.811
State,26,Michigan,6619834,30.876,32.354,69.942,28.577,71.234,26.01,75.507,23.193,66.376,32.076,82.488,16.273,23.023,76.305,68.353,12.492,53.897,31.402,46.666,28.196,55.587,44.467,37.713,51.994,56.185,34.059,60.189,26.599,68.822,19.219,67.516,20.824,49.29,50.436
State,27,Minnesota,3599228,33.59,27.312,67.924,30.818,71.126,26.049,75.036,24.309,67.159,31.258,83.617,15.568,29.813,69.957,68.931,13.949,52.05,33.348,51.12,29.93,55.586,44.527,35.15,58.106,55.308,37.656,63.487,28.551,72.098,20.83,70.922,22.963,47.235,52.392
State,28,Mississippi,1929591,27.83,39.344,65.301,33.182,68.283,28.425,71.969,26.292,62.449,36.619,79.595,19.006,20.678,78.636,65.657,12.689,49.634,34.874,42.154,28.254,53.549,46.395,37.84,46.627,54.216,32.277,54.788,26.047,63.69,20.073,62.851,21.261,48.975,50.484
State,29,Missouri,4028930,30.31,32.741,64.89,33.743,68.276,29.092,72.192,26.622,64.006,33.509,81.096,17.828,25.558,74.022,66.107,15.437,49.443,35.103,44.615,31.613,52.948,47.084,35.915,52.585,53.509,36.78,59.805,29.318,67.904,22.836,66.698,23.468,46.671,52.988
State,30,Montana,683960,36.173,28.775,64.333,35.141,67.566,29.729,72.152,26.521,62.082,37.289,83.595,15.121,26.453,72.732,66.106,16.772,47.858,36.851,44.283,35.108,52.526,47.325,32.298,58.326,50.79,41.021,58.129,31.153,65.957,23.888,66.634,25.135,43.613,55.846
State,31,Nebraska,1205229,30.387,32.276,62.621,36.414,65.853,31.329,70.389,28.707,61.947,35.721,81.206,17.658,26.333,73.326,64.448,17.808,47.554,36.652,42.351,35.181,51.052,48.865,33.037,57.633,50.817,40.449,56.556,32.145,64.734,25.228,63.136,27.076,44.037,55.68
State,32,Nevada,1847920,36.81,29.119,69.729,28.79,71.676,25.961,75.07,23.853,66.053,32.778,82.445,16.197,24.865,74.85,70.286,12.193,53.868,31.899,49.201,27.443,59.006,41.038,41.12,48.647,58.767,31.926,63.774,24.911,71.216,18.67,69.996,20.314,50.889,48.753
State,33,New Hampshire,919033,34.35,28.674,67.991,30.606,72.255,26.44,74.81,24.501,67.044,31.878,82.996,16.664,26.39,73.368,68.292,14.42,52.67,32.263,49.504,30.418,55.842,44.253,36.247,55.881,55.968,36.919,61.715,29.316,70.421,21.672,68.365,23.466,48.148,51.633
State,34,New Jersey,6052621,34.425,30.258,78.132,20.482,74.227,22.961,79.575,18.701,69.542,29.028,83.672,14.889,21.098,78.269,75.11,9.375,57.442,29.465,54.037,25.835,64.546,35.331,42.882,46.811,61.644,28.804,68.69,20.571,74.861,15.276,75.424,15.315,53.963,45.52
State,35,New Mexico,1360013,38.173,26.024,67.538,31.205,72.323,24.95,74.421,24.517,65.771,33.655,82.555,16.561,27.643,71.678,70.893,11.781,55.117,31.471,51.913,25.814,60.015,40.16,42.356,48.263,60.074,31.593,66.321,24.295,72.811,17.823,71.415,20.243,51.146,48.592
State,36,New York,13329734,36.737,27.401,78.707,20.125,76.077,21.174,80.606,17.332,70.678,27.403,85.593,13.123,20.101,78.668,77.018,8.016,57.575,29.989,56.179,23.968,67.241,32.489,44.748,45.886,64.365,27.36,69.039,19.684,75.683,13.796,76.289,14.586,57.39,41.852
State,37,North Carolina,6495047,31.042,35.232,69.689,28.643,71.648,26.503,74.521,24.182,65.405,33.316,82.197,16.681,23.174,76.802,68.932,12.607,52.18,32.835,47.677,28.438,55.709,44.282,39.052,48.628,56.009,32.497,60.806,25.692,67.494,19.69,68.082,20.249,50.193,49.498
State,38,North Dakota,458527,30.813,29.371,58.067,41.866,64.065,31.503,69.251,29.459,59.209,39.663,83.385,15.681,29.368,69.703,62.19,19.016,45.712,38.988,40.399,36.576,48.429,51.529,28.443,62.755,46.506,45.315,52.855,34.888,64.303,25.729,62.747,29.272,38.934,60.487
State,39,Ohio,7781111,29.882,32.959,64.263,34.527,69.893,27.294,73.548,25.286,64.39,34.341,81.879,17.119,25.41,75.018,66.772,13.791,52.019,33.019,46.916,29.409,53.144,46.937,35.359,54.249,54.332,35.709,58.628,28.404,66.93,20.851,65.758,23.246,47.557,52.161
State,40,Oklahoma,2489023,29.395,36.012,61.548,37.528,64.635,32.993,68.476,31.037,59.474,39.562,77.823,22.058,22.425,76.972,63.127,18.735,45.989,37.502,39.277,35.713,49.885,50.148,34.798,54.674,51.123,39.278,55.256,32.215,62.187,26.552,62.06,27.936,44.958,54.804
State,41,Oregon,2677376,38.065,26.441,71.099,27.728,70.803,25.691,76.5,22.685,67.225,31.181,82.537,16.294,26.559,72.74,72.137,12.278,53.786,31.826,52.933,28.845,59.386,40.399,39.543,53.102,59.234,33.787,66.687,25.204,71.945,19.194,72.36,19.921,52.035,47.432
State,42,Pennsylvania,8764740,31.186,32.778,69.02,30.151,71.155,26.17,75.526,22.799,64.847,34.084,81.664,17.458,22.296,77.156,68.996,12.583,52.608,32.991,48.585,29.184,57.636,42.407,37.529,52.873,56.154,34.744,61.188,26.84,69.022,19.488,68.424,20.881,49.115,50.436
State,44,Rhode Island,716161,35.85,26.647,70.426,27.557,75.699,22.854,77.121,22.228,69.688,29.303,83.578,16.281,27.388,72.523,71.347,11.163,56.514,29.665,54.77,24.829,60.136,40.128,40.787,50.555,60.839,31.787,66.007,25.036,74.323,17.757,71.723,19.844,52.463,47.265
State,45,South Carolina,3163095,29.515,37.945,66.876,31.746,69.88,27.933,72.077,26.209,64.225,34.769,81.51,17.199,21.09,78.243,66.856,13.164,50.341,34.234,43.664,29.394,53.957,45.978,37.331,50.682,53.966,33.544,58.93,26.493,65.298,20.479,64.601,21.773,48.829,50.776
State,46,South Dakota,544604,30.621,32.781,66.427,32.666,66.014,30.809,71.442,26.645,62.922,33.918,82.238,16.02,24.398,75.28,65.227,16.758,48.62,35.583,42.08,35.484,53.06,46.699,33.389,56.343,51.127,39.752,55.966,31.002,65.409,23.902,65.027,24.537,44.223,55.343
State,47,Tennessee,4336243,28.054,37.878,61.871,36.909,67.297,30.761,70.307,28.704,61.503,37.573,78.267,20.82,21.435,77.639,64.144,16.169,48.149,35.719,42.091,32.125,51.17,48.784,36.346,51.14,53.436,35.42,56.056,29.599,63.153,24.194,62.65,24.323,47.85,51.93
State,48,Texas,16426730,31.743,33.79,66.557,32.629,68.301,29.195,71.2,27.99,63.727,35.062,79.033,20.543,23.288,76.605,68.907,13.483,51.626,33.673,45.338,29.493,57.163,42.835,41.836,46.952,57.509,32.377,62.678,25.724,68.376,20.472,67.017,21.767,50.506,49.216
State,49,Utah,1642728,34.017,32.424,58.354,41.078,63.846,35.326,66.613,33.187,57.375,41.206,79.349,19.846,22.939,75.859,63.071,22.088,42.528,40.663,39.762,40.101,47.887,51.849,33.648,58.065,49.768,43.08,53.815,35.701,58.537,30.815,60.76,31.51,44.709,55.227
State,50,Vermont,434995,37.714,23.88,72.135,26.406,76.516,21.802,78.976,20.305,70.46,28.676,85.864,13.918,29.226,70.378,72.692,10.88,56.765,29.922,56.593,25.49,60.665,39.515,38.488,54.428,60.165,33.68,67.27,25.341,76.131,17.277,74.099,19.463,51.209,48.304
State,51,Virginia,5501125,33.076,33.012,71.459,27.511,73.238,24.958,75.727,22.62,66.971,31.469,83.679,15.017,23.469,76.458,71.148,11.429,54.106,31.475,49.989,27.815,58.619,41.262,40.524,48.497,57.935,31.727,63.984,24.151,70.658,18.234,71.211,18.697,51.724,47.911
State,53,Washington,4645804,38.45,26.022,72.793,26.006,71.443,24.971,76.612,22.558,67.581,31.054,82.602,16.258,27.783,72.058,72.632,11.836,54.714,31.013,54.115,28.004,59.993,39.855,40.185,52.651,60.07,33.013,66.731,25.107,73.525,18.6,73.146,19.957,52.421,47.092
State,54,West Virginia,1298614,27.642,35.963,55.749,43.864,64.664,32.816,68.69,30.562,56.49,43.718,81.173,18.444,24.489,74.389,60.476,20.037,44.072,40.286,37.932,36.073,45.324,54.679,30.052,58.555,46.092,43.205,51.188,35.038,59.517,27.586,59.526,30.696,40.292,59.252
State,55,Wisconsin,3850995,31.322,30.456,68.986,29.605,70.192,26.756,75.074,23.916,65.289,33.745,83.29,15.68,25.428,74.156,68.125,13.695,52.5,32.863,48.528,29.904,54.059,45.959,35.587,55.175,54.644,35.921,62.344,27.611,69.495,20.402,68.281,21.739,46.966,52.69
State,56,Wyoming,381098,33.641,30.816,55.252,45.07,61.881,34.966,66.421,32.339,55.274,44.566,82.156,16.868,25.973,72.704,60.921,21.956,41.971,42.323,37.532,40.424,46.189,53.575,28.734,62.058,45.177,46.543,50.906,36.607,58.593,29.32,59.857,31.874,38.979,60.506
County,1001,"Autauga County, Alabama",36233,25.075,40.609,58.696,40.131,64.919,33.163,68.675,30.501,59.041,40.169,76.992,22.662,NA,NA,58.996,19.201,43.458,39.69,36.537,35.771,44.778,55.255,31.986,54.471,48.382,40.019,52.221,33.026,59.229,27.283,58.152,28.438,41.892,57.731
County,1003,"Baldwin County, Alabama",133267,28.486,35.799,58.028,40.916,63.698,34.479,67.243,31.673,57.973,41.319,76.866,22.22,NA,NA,59.902,20.735,42.224,39.561,36.632,38.336,45.499,54.483,31.623,57.619,48.515,42.492,52.603,34.913,60.562,28.303,60.107,28.686,41.069,58.294
County,1005,"Barbour County, Alabama",18836,26.789,41.481,68.756,29.236,67.677,27.542,72.513,25.381,62.966,35.013,79.27,19.314,NA,NA,67.735,10.061,49.059,36.418,42.59,25.136,55.151,44.869,40.077,42.853,56.352,28.493,59.725,22.312,65.669,17.577,65.774,18.298,52.687,46.174
County,1007,"Bibb County, Alabama",15683,24.599,41.465,58.667,39.604,60.916,35.731,66.97,31.526,55.802,42.671,75.835,23.194,NA,NA,58.421,18.032,41.923,41.312,34.866,34.056,45.311,54.649,33.426,52.273,48.915,38.3,51.645,31.774,58.673,26.459,58.194,27.192,43.546,55.595
County,1009,"Blount County, Alabama",39052,25.467,39.748,57.519,41.928,62.378,37.096,67.405,32.146,57.466,41.891,76.734,23.216,NA,NA,55.893,23.721,42.595,39.305,35.681,38.435,42.065,57.825,30.192,58.289,46.168,44.43,49.821,37.235,57.513,31.059,56.507,31.358,38.667,61.301
County,1011,"Bullock County, Alabama",7283,28.666,42.102,76.076,22.115,72.146,22.485,75.516,22.005,67.769,29.819,81.089,16.905,NA,NA,73.726,5.468,53.986,32.745,49.502,17.834,63.109,36.924,47.193,33.677,63.368,20.026,66.313,14.992,70.168,12.099,70.752,12.511,60.405,38.114
County,1013,"Butler County, Alabama",14041,25.115,42.756,65.924,32.045,66.779,28.787,71.342,26.676,61.575,36.587,78.228,20.561,NA,NA,64.727,11.738,46.627,38.152,39.473,27.519,51.898,48.146,37.898,44.526,53.896,30.384,56.817,24.349,63.243,19.461,63.152,20.301,50.256,48.575
County,1015,"Calhoun County, Alabama",78667,26.815,39.27,63.19,35.352,65.784,31.544,70.581,27.66,60.884,37.846,78.105,21.184,NA,NA,61.761,16.96,46.307,37.392,38.957,32.637,48.602,51.399,34.102,51.993,50.95,36.913,54.541,30.014,61.45,24.151,60.989,24.932,45.497,53.899
County,1017,"Chambers County, Alabama",23825,25.735,42.262,67.508,30.763,68.081,27.942,72.669,25.555,62.928,35.395,78.615,20.179,NA,NA,65.726,11.759,47.207,37.619,41.757,27.246,52.435,47.607,37.668,45.395,54.16,30.929,57.505,24.693,63.335,20.012,64.028,20.092,50.072,48.932
County,1019,"Cherokee County, Alabama",18813,24.66,39.146,56.454,41.872,59.676,37.623,65.901,32.956,54.505,44.278,75.447,23.897,NA,NA,56.144,22.013,41.028,41.395,33.289,38.346,43.253,56.739,30.764,56.966,46.585,42.767,49.647,35.898,57.462,29.931,56.777,30.825,40.791,58.288
County,1021,"Chilton County, Alabama",29393,25.444,40.037,57.94,40.832,60.993,36.941,66.397,32.618,55.851,43.014,75.973,23.35,NA,NA,56.781,21.264,41.889,39.979,35.11,36.067,44.1,55.853,32.65,54.635,48.463,40.482,51.251,33.93,57.924,29.398,57.27,29.846,41.438,57.958
County,1023,"Choctaw County, Alabama",9578,26.278,42.224,68.71,29.738,69.099,27.266,73.321,24.882,63.973,34.364,79.439,19.378,NA,NA,66.624,10.915,48.76,36.167,42.79,25.898,53.822,46.192,38.946,43.752,55.493,29.306,58.783,23.222,64.519,18.608,64.585,19.126,51.268,47.786
County,1025,"Clarke County, Alabama",17220,24.419,43.642,62.839,34.999,64.886,30.613,69.714,28.482,60.088,37.993,77.124,21.548,NA,NA,63.089,11.856,44.992,39.187,37.224,27.65,51.652,48.424,38.148,43.839,54.028,29.777,56.723,23.867,62.369,19.569,62.375,20.54,49.599,49.118
County,1027,"Clay County, Alabama",9620,25.412,40.646,61.193,37.479,63.438,34.098,69.094,29.63,58.292,40.362,77.06,22.169,NA,NA,59.644,18.111,43.736,39.38,36.959,33.784,46.385,53.553,33.398,52.734,49.479,38.405,52.473,31.78,59.661,26.14,59.157,26.655,43.621,55.751
County,1029,"Cleburne County, Alabama",10308,27.227,38.275,60.102,39.563,63.317,36.202,68.6,30.95,57.922,41.242,77.421,22.068,NA,NA,58.923,20.902,43.771,37.942,38.619,35.598,44.958,54.898,32.153,56.44,49.052,41.462,52.184,34.358,59.269,29.153,58.401,29.305,40.913,58.849
County,1031,"Coffee County, Alabama",34363,26.25,38.71,59.051,39.47,60.897,36.317,66.378,32.509,57.292,41.625,75.947,23.182,NA,NA,59.516,19.387,42.176,40.428,36.021,36.02,45.079,54.944,33.044,54.175,49.099,39.746,52.744,32.318,59.22,28.188,58.967,28.482,43.164,56.226
County,1033,"Colbert County, Alabama",38009,25.625,39.946,60.964,37.175,65.98,31.085,70.999,27.871,60.467,38.318,78.717,20.984,NA,NA,61.944,16.539,45.575,39.045,37.901,33.326,48.611,51.508,33.558,52.328,50.248,37.419,54.678,29.944,63.004,23.239,62.321,24.569,44.875,54.483
County,1035,"Conecuh County, Alabama",8930,23.477,46.301,69.095,29.44,71.202,25.734,75.564,22.938,66.942,31.711,79.679,19.843,NA,NA,64.64,11.815,49.325,35.793,41.949,26.504,51.886,48.209,36.546,43.971,53.009,30.132,56.764,24.242,62.432,19.03,62.43,19.498,49.271,50.119
County,1037,"Coosa County, Alabama",8218,24.832,42.191,63.454,34.426,64.141,31.484,69.773,28.339,59.384,38.697,77.3,21.445,NA,NA,62.343,13.66,45.031,39.388,37.466,29.611,50.266,49.749,36.516,47.202,52.383,32.933,55.233,26.687,61.838,21.575,61.673,22.46,47.997,50.84
County,1039,"Covington County, Alabama",26478,26.416,39.195,59.232,40.054,63.7,35.17,69.079,30.415,58.437,40.75,77.653,22.041,NA,NA,59.868,19.801,43.773,38.563,37.99,35.494,45.84,54.085,32.365,54.995,48.89,40.406,52.265,33.398,58.926,27.373,58.74,27.94,41.502,58.204
County,1041,"Crenshaw County, Alabama",9527,25.528,40.889,61.322,37.024,63.231,33.482,68.645,29.894,58.116,40.309,76.936,22.005,NA,NA,60.899,15.767,43.916,39.459,36.982,31.777,48.234,51.755,35.181,49.894,51.278,35.433,54.092,28.962,60.766,23.881,60.417,24.616,45.841,53.248
County,1043,"Cullman County, Alabama",55380,24.807,38.863,55.501,43.434,59.491,38.861,64.749,34.619,54.92,44.28,75,24.477,NA,NA,53.261,24.779,40.101,41.146,34.089,38.92,40.753,59.239,29.608,59.392,45.24,45.572,48.302,38.802,55.085,34.076,54.848,33.614,38.644,60.955
County,1045,"Dale County, Alabama",33129,27.329,38.686,62.207,36.829,65.911,32.255,70.327,28.788,60.228,38.861,78.48,21.072,NA,NA,62.005,17.677,45.546,37.565,39.608,33.883,47.667,52.286,33.789,53.186,50.395,38.556,54.225,31.471,60.806,26.109,60.156,26.763,43.915,55.746
County,1047,"Dallas County, Alabama",27699,29.256,41.208,76.898,21.641,74.599,21.15,77.405,20.512,69.814,28.211,81.969,16.315,NA,NA,74.272,5.68,55.022,31.4,50.729,18.785,62.889,37.148,46.331,34.927,63.131,20.883,66.543,15.531,70.557,12.105,70.495,12.561,59.734,38.779
County,1049,"DeKalb County, Alabama",47081,26.114,39.554,59.88,38.92,62.703,35.549,68.939,30.143,57.958,40.989,77.297,22.462,NA,NA,59.108,20.765,44.245,38.667,36.925,35.334,45.334,54.602,31.869,55.488,48.252,40.913,51.505,34.171,59.091,27.95,58.287,28.562,41.904,57.852
County,1051,"Elmore County, Alabama",53964,25.832,39.472,58.135,40.409,62.48,34.731,67.565,31.368,57.056,41.891,75.996,23.194,NA,NA,58.584,19.498,42.892,40.564,36.082,35.43,45.105,54.903,32.61,54.257,48.653,39.884,52.114,32.943,58.987,27.67,58.429,28.461,42.725,56.628
County,1053,"Escambia County, Alabama",25894,24.536,42.575,62.522,35.575,64.222,31.855,69.868,28.446,59.033,39.354,77.382,21.669,NA,NA,61.129,14.681,44.948,39.276,36.946,30.696,48.874,51.152,35.585,48.418,51.412,34.299,54.524,27.917,60.632,23.323,61.017,23.434,46.824,52.27
County,1055,"Etowah County, Alabama",71636,25.776,39.593,60.959,37.48,63.007,34.22,69.984,28.431,58.752,40.116,77.653,21.828,NA,NA,58.888,18.354,43.07,40.116,38.138,34.759,46.364,53.676,32.879,53.555,49.209,38.931,52.714,31.927,60.153,25.064,59.348,26.178,43.673,55.741
County,1057,"Fayette County, Alabama",11939,24.648,40.848,57.708,40.724,60.827,36.514,66.926,31.857,55.718,43.035,75.808,23.515,NA,NA,57.162,19.915,41.648,41.272,34.327,35.785,44.192,55.789,31.886,54.466,47.674,40.315,50.514,33.722,57.919,28.071,57.357,28.761,41.968,57.317
County,1059,"Franklin County, Alabama",21175,26.783,38.029,62.719,36,63.793,33.838,69.699,29.097,58.829,39.795,77.897,21.3,NA,NA,60.694,17.566,45.418,38.217,38.525,33.16,48.444,51.507,34.37,53.064,51.066,38.047,54.25,31.25,61.278,25.885,60.64,26.573,44.176,55.222
County,1061,"Geneva County, Alabama",18733,24.776,40.099,56.432,42.214,59.689,37.928,66.014,32.937,54.373,44.459,75.576,23.784,NA,NA,56.745,21.094,41.13,41.356,33.69,37.187,43.007,56.934,31.59,55.435,47.192,41.684,50.137,34.804,56.968,29.915,57.023,29.778,41.217,58.203
County,1063,"Greene County, Alabama",5888,27.231,43.732,71.703,26.163,71.06,23.622,73.953,23.709,65.837,31.544,79.809,17.92,NA,NA,72.609,4.892,51.645,34.196,45.413,17.705,63.087,36.992,48.507,31,64.062,18.033,66.386,13.465,69.742,11.25,70.109,11.869,60.54,37.686
County,1065,"Hale County, Alabama",10365,24.652,45.186,65.091,32.999,70.758,25.809,73.276,25.442,65.205,33.051,78.537,20.107,NA,NA,67.678,8.529,49.468,35.208,40.354,22.937,58.184,42.029,42.356,37.396,59.06,23.305,62.278,17.937,66.874,14.803,65.73,16.419,52.513,46.201
County,1067,"Henry County, Alabama",12307,25.261,41.195,61.951,36.217,64.143,32.199,69.241,29.157,59.143,39.356,77.276,21.792,NA,NA,61.294,15.521,44.2,39.643,37.279,31.848,48.163,51.859,34.794,49.88,50.847,35.569,54.062,29.013,60.858,23.484,60.599,24.332,46.162,52.967
County,1069,"Houston County, Alabama",69723,25.409,40.374,60.099,38.341,64.301,32.789,68.219,30.54,58.211,40.72,77.41,22.099,NA,NA,60.475,17.555,43.885,39.955,36.79,33.56,46.559,53.434,33.263,52.375,49.491,37.958,53.032,31.173,60.078,25.358,59.661,26.18,43.935,55.427
County,1071,"Jackson County, Alabama",37170,22.921,41.842,52.735,45.434,61.1,36.824,66.028,33.338,55.987,42.8,75.491,24.309,NA,NA,55.32,21.13,41.107,41.628,31.115,37.395,44.674,55.447,30.967,54.582,47.218,39.796,50.442,33.175,58.237,27.338,55.581,28.913,39.217,59.769
County,1073,"Jefferson County, Alabama",443123,28.288,37.716,69.141,29.241,72.102,24.362,72.982,24.494,64.714,33.221,79.363,18.75,NA,NA,66.662,10.555,49.723,37.657,45.156,26.109,54.647,45.574,39.089,45.408,56.387,30.248,60.126,23.049,64.88,19.344,65.722,19.926,52.406,46.924
