Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,,HollywellŒRoad,Hollywell Road,
2011,,homeŒaddress,home address,
2011,,HomeŒAddress,Home Address,
2011,,HomerŒstreet,Homer street,
2011,,HuntersŒMoonŒPublicŒhouse.,Hunters Moon Public house.,
2011,,HurstŒStreet,Hurst Street,
2011,,HurstŒStreet,Hurst Street,
2011,,HurstŒStreet,Hurst Street,
2011,," HurstŒStreet,ŒBirmingham"," Hurst Street, Birmingham",
2011,,KingsŒHeathŒHighŒStreet,Kings Heath High Street,
2011,," KNOWLEŒRD,ŒSMALLŒHEATH,ŒBHAM"," KNOWLE RD, SMALL HEATH, BHAM",
2011,,ladypoolŒRoad,ladypool Road,
2011,,ladypoolŒRoad,ladypool Road,
2011,,LadywellŒWalk,Ladywell Walk,
2011,,LeaŒHallŒRD,Lea Hall RD,
2011,,LeaŒHallŒrd,Lea Hall rd,
2011,," LeaŒVillage,ŒStechford"," Lea Village, Stechford",
2011,," LenchesŒClose,ŒMosley"," Lenches Close, Mosley",
2011,,LimeŒTreeŒRoad,Lime Tree Road,
2011,,LodeŒLaneŒ@ŒHermitageŒRoad,Lode Lane @ Hermitage Road,
2011,,LongŒstreet,Long street,
2011,,LongŒStreet.ŒSparkhill,Long Street. Sparkhill,
2011,,LongbridgeŒLane,Longbridge Lane,
2011,," LONGMEADOWŒCRESCENTŒSHARDŒENDŒ,ŒBHAM"," LONGMEADOW CRESCENT SHARD END , BHAM",
2011,,MaccadownŒLane,Maccadown Lane,
2011,,masshouseŒlane,masshouse lane,
2011,,MeadwaymŒStechford,Meadwaym Stechford,
2011,," MickleoverŒRoad,ŒBromford"," Mickleover Road, Bromford",
2011,,moorcroftŒroad,moorcroft road,
2011,,MoseleyŒRoad,Moseley Road,
2011,,moseleyŒroad,moseley road,
2011,,moseleyŒroad,moseley road,
2011,,moseleyŒroad,moseley road,
2011,,MoseleyŒVillage,Moseley Village,
2011,,MoseleyŒVillage,Moseley Village,
2011,," MoseleyŒVillage,ŒAlcesterŒroad"," Moseley Village, Alcester road",
2011,," MosleyŒAllŒServicesŒClub,ŒChurchŒRoad,ŒMoseley."," Mosley All Services Club, Church Road, Moseley.",
2011,,NearlandsŒCloseŒQuinton,Nearlands Close Quinton,
2011,,newŒstreet,new street,
2011,,NorthfieldŒHighŒStreet,Northfield High Street,
2011,," O/SŒBEHANS,ŒHIGHFIELDŒROAD,ŒBILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",
2011,," O/SŒTheŒjunction,ŒMosleyŒVillage"," O/S The junction, Mosley Village",
2011,,O/SŒWashwoodŒHeathŒroad,O/S Washwood Heath road,
2011,," OakhillŒRoad,ŒAcocksŒGreen"," Oakhill Road, Acocks Green",
2011,,OppŒwhiteŒhartŒlaneŒcooksŒlane,Opp white hart lane cooks lane,
2011,," Opposite,ŒALDI,ŒStratfordŒRoad"," Opposite, ALDI, Stratford Road",
2011,,OutsideŒJavaŒloungeŒAlcesterŒRoad,Outside Java lounge Alcester Road,
2011,,OutsideŒO2ŒAcademyŒNightŒClubŒB'hamŒCityŒCentre,Outside O2 Academy Night Club B'ham City Centre,
2011,,outsideŒravenŒpublicŒhouse,outside raven public house,
2011,," PackingtonŒAvenue,ŒShardŒEnd"," Packington Avenue, Shard End",
2011,,parkŒoffŒhobŒmoorŒroad,park off hob moor road,
2011,,ParkhallŒCroft,Parkhall Croft,
2011,,PearŒTreeŒPH,Pear Tree PH,
2011,,PoliceŒstation,Police station,
2011,,PoliceŒStationŒStechford,Police Station Stechford,
2011,,poplarŒroad,poplar road,
2011,,PoplarŒroad,Poplar road,
2011,," poplarŒroadŒ,Œsolihull"," poplar road , solihull",
2011,," poplarŒroad,Œsolihull"," poplar road, solihull",
2011,,PrestonŒRoad,Preston Road,
2011,," PrioryŒRoad,ŒHallŒGreen"," Priory Road, Hall Green",
2011,,prospectŒroad,prospect road,
2011,,queenswoodŒroad,queenswood road,
2011,," rearŒofŒboots,ŒhighŒstreet"," rear of boots, high street",
2011,," REDDINGSŒLANE,ŒTSYLEY"," REDDINGS LANE, TSYLEY",
2011,," RichmondŒPrimaryŒCareŒCentre,ŒRichmondŒRoad,ŒStechford"," Richmond Primary Care Centre, Richmond Road, Stechford",
2011,," ringŒroad,Œstourbridge"," ring road, stourbridge",
2011,," sainsburys,ŒwawrickŒroad"," sainsburys, wawrick road",
2011,,sainsburys.ŒalcesterŒroadŒsouth,sainsburys. alcester road south,
2011,,SandfordŒRoadŒMoseley,Sandford Road Moseley,
2011,,SareholeŒMill,Sarehole Mill,
2011,,SedgemereŒRoad,Sedgemere Road,
2011,,ShirleyŒRoad,Shirley Road,
2011,,SHirleyŒRoad,SHirley Road,
2011,,SnowŒHill,Snow Hill,
2011,,SolihullŒLane,Solihull Lane,
2011,," StŒMary'sŒRoad,ŒMoseley"," St Mary's Road, Moseley",
2011,,StŒMarysŒRow,St Marys Row,
2011,,stationŒroad,station road,
2011,," StationŒWay,ŒBirminghamŒInternationalŒrailŒStation"," Station Way, Birmingham International rail Station",
2011,,StechfordŒfrontŒoffice,Stechford front office,
2011,,StechfordŒP.S.,Stechford P.S.,
2011,,StechfordŒRetailŒPark.,Stechford Retail Park.,
2011,,StonehengeŒcroftŒDruidsŒheath,Stonehenge croft Druids heath,
2011,,StoneyŒLane,Stoney Lane,
2011,,StoneyŒLane,Stoney Lane,
2011,,stoneyŒlane,stoney lane,
2011,," STRATFORDŒHEATH,ŒSPARKŒHILL,ŒBIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM",
2011,,stratfordŒroad,stratford road,
2011,,StratfordŒroad,Stratford road,
2011,,StratfordŒRoad,Stratford Road,
2011,," stratfordŒroad,ŒhallŒgreen"," stratford road, hall green",
2011,,stratfordŒroads,stratford roads,
2011,," StuartŒRoad,ŒStechford"," Stuart Road, Stechford",
2011,,talbortŒstreet,talbort street,
2011,,TauntonŒRoad,Taunton Road,
2011,,TavistockŒroad,Tavistock road,
2011,,TheŒavenue,The avenue,
2011,,TheŒpaerŒtreeŒpub,The paer tree pub,
2011,,TrafalgerŒRoad,Trafalger Road,
2011,,WakeŒgreenŒRoad,Wake green Road,
2011,,WardŒEndŒRoad,Ward End Road,
2011,,WarwickŒRoad,Warwick Road,
2011,,WarwickŒRoad,Warwick Road,
2011,,WarwickŒRoad,Warwick Road,
2011,,WarwickŒRoad,Warwick Road,
2011,,WarwickŒRoad,Warwick Road,
2011,,WarwickŒRoadŒTysley,Warwick Road Tysley,
2011,,WashŒlane,Wash lane,
2011,,WashfordŒHeathŒRoad,Washford Heath Road,
2011,,WashwoodŒHeathŒpub,Washwood Heath pub,
2011,," WASHWOODŒHEATHŒRD,ŒWASHWOODŒHEATH,ŒBHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",
2011,,WashwoodŒHeathŒroad,Washwood Heath road,
2011,,WashwoodŒHeathŒRoad,Washwood Heath Road,
2011,,WashwoodŒHeathŒRoad,Washwood Heath Road,
2011,,WashwoodŒHeathŒRoad,Washwood Heath Road,
2011,," WateryŒLaneŒMiddleway,ŒBirmingham"," Watery Lane Middleway, Birmingham",
2011,,wawrickŒroad,wawrick road,
2011,," WelshfarmŒRoad,ŒQuinton"," Welshfarm Road, Quinton",
2011,,WestleyŒRoad,Westley Road,
2011,," WestleyŒRoad,ŒAcocksŒGreen"," Westley Road, Acocks Green",
2011,,WhiteŒHartŒPublicŒHouse,White Hart Public House,
2011,,WhiteŒHartŒPublicŒHouse,White Hart Public House,
2011,," WhiteheartŒpub,ŒGressellŒLane"," Whiteheart pub, Gressell Lane",
2011,," WilliamŒHillŒBookmakers,ŒWashwoodŒHeathŒRoad"," William Hill Bookmakers, Washwood Heath Road",
2011,," WilliamŒHillŒBookmakers,ŒWashwoodŒHeathŒRoad"," William Hill Bookmakers, Washwood Heath Road",
2011,,WilliamŒHillŒWashwoodŒHeathŒRoad,William Hill Washwood Heath Road,
2011,,WindwardŒRoad,Windward Road,
2011,,WindwardŒRoad,Windward Road,
2011,," WoodŒEndŒRoad,ŒErdington"," Wood End Road, Erdington",
2011,," WoodbridgeŒroad,Œmoseley"," Woodbridge road, moseley",
2011,,WrightŒStreet,Wright Street,
2011,,yardleyŒgreenŒroad,yardley green road,
2011,,yardleyŒroadŒacocksŒgreen,yardley road acocks green,
2011,,YardleyŒWoodŒRoad,Yardley Wood Road,
2011,,YardleyŒWoodŒRoad,Yardley Wood Road,
2011,,YewŒTreeŒcarŒpark,Yew Tree car park,
2011,,YewŒTreeŒLane,Yew Tree Lane,
2011,,YewŒTreeŒpublicŒhouseŒcarŒpark.,Yew Tree public house car park.,
2011,," ArmadaŒPub,ŒSladeŒRoad,ŒErdington,ŒBirmingham"," Armada Pub, Slade Road, Erdington, Birmingham",
2011,," ArmardaŒPub,ŒŒGravellyŒHill"," Armarda Pub,  Gravelly Hill",
2011,," ArmardaŒPub,ŒGravellyŒHill"," Armarda Pub, Gravelly Hill",
2011,,BADGERSŒBANKŒROAD,BADGERS BANK ROAD,
2011,," BaldmoorŒLakeŒRoad,ŒErdington,ŒBirmingham."," Baldmoor Lake Road, Erdington, Birmingham.",
2011,," bandywoodŒRd,Œkingstanding"," bandywood Rd, kingstanding",
2011,,BeckenhamŒRoad,Beckenham Road,
2011,,BeechesŒWalk,Beeches Walk,
2011,,BIRMINGHAMŒRD,BIRMINGHAM RD,
2011,,BIRMINGHAMŒRD,BIRMINGHAM RD,
2011,," BirminghamŒRd,ŒSC"," Birmingham Rd, SC",
2011,,BirminghamŒRoad,Birmingham Road,
2011,,BirminghamŒRoad,Birmingham Road,
2011,,birminghamŒroadŒsutton,birmingham road sutton,
2011,," BirminghamŒRoad,ŒErdington"," Birmingham Road, Erdington",
2011,," BirminghamŒRoad,ŒSuttonŒColdfield"," Birmingham Road, Sutton Coldfield",
2011,," BirminghamŒRoad,ŒSuttonŒColdfield"," Birmingham Road, Sutton Coldfield",
2011,,BOWLINGŒGREENŒCLOSE,BOWLING GREEN CLOSE,
2011,," BracebridgeŒRoad,ŒErdington"," Bracebridge Road, Erdington",
2011,,brassingtonŒavenue,brassington avenue,
2011,,BromfordŒLane,Bromford Lane,
2011,," BromfordŒLane,ŒErdington,ŒB'ham"," Bromford Lane, Erdington, B'ham",
2011,,BrookvaleŒparkŒRoad,Brookvale park Road,
2011,," CarhamptonŒRoad,ŒFalconŒLodge,ŒSuttonŒColfield"," Carhampton Road, Falcon Lodge, Sutton Colfield",
2011,,CarshaltonŒRoad,Carshalton Road,
2011,,carshorltonŒRoad,carshorlton Road,
2011,,chesterŒrd,chester rd,
2011,,CHESTERŒROAD,CHESTER ROAD,
2011,," ChesterŒRoad,ŒHallsŒgardenŒCentre"," Chester Road, Halls garden Centre",
2011,,CHURCHŒRDŒATŒCHESTERŒRD,CHURCH RD AT CHESTER RD,
2011,," CollegeŒRoad,ŒKingstanding,ŒB'ham"," College Road, Kingstanding, B'ham",
2011,," CollegeŒRoad,ŒKingstanding,ŒB'ham"," College Road, Kingstanding, B'ham",
2011,," CopshillŒCourt,ŒMountŒView,ŒSuttonŒColdfield"," Copshill Court, Mount View, Sutton Coldfield",
2011,," DovedaleŒRoad,ŒErdington,ŒB'ham"," Dovedale Road, Erdington, B'ham",
2011,," DownsideŒRoad,ŒErdington,ŒB'ham"," Downside Road, Erdington, B'ham",
2011,," EachelhurtŒRoad,ŒErdington"," Eachelhurt Road, Erdington",
2011,,ERDINGTONŒHALLŒROAD,ERDINGTON HALL ROAD,
2011,,ERDINGTONŒHALLŒROAD,ERDINGTON HALL ROAD,
2011,,ErdingtonŒHighŒStreet,Erdington High Street,
2011,," FenthamŒRoad,ŒErdington,ŒB'ham"," Fentham Road, Erdington, B'ham",
2011,,FINCHLEYŒROAD,FINCHLEY ROAD,
2011,," FinchleyŒRoad,ŒKingstanding,ŒB'ham"," Finchley Road, Kingstanding, B'ham",
2011,,GEORGEŒFREDERICKŒROAD,GEORGE FREDERICK ROAD,
2011,,GoldenŒPondŒtakeŒawayŒ‰óŒBoldmereŒRoad,Golden Pond take away ‰ó Boldmere Road,
2011,,goodŒhopeŒhospital,good hope hospital,
2011,,GracechurchŒCentre,Gracechurch Centre,
2011,," GracechurchŒcentre,ŒoutsideŒSupercigs"," Gracechurch centre, outside Supercigs",
2011,," GraceChurchŒShoppingŒCentre,ŒSuttonŒColdfield"," GraceChurch Shopping Centre, Sutton Coldfield",
2011,," grassedŒareaŒ,ŒpypeŒhayesŒpark...."," grassed area , pype hayes park....",
2011,,GravelleyŒlane,Gravelley lane,
2011,,GravelleyŒlane,Gravelley lane,
2011,,GravelleyŒlane,Gravelley lane,
2011,," GravellyŒLane,ŒErdington,ŒBirmingham"," Gravelly Lane, Erdington, Birmingham",
2011,,hairyŒlemonŒpubŒ.suttonŒcoldfield,hairy lemon pub .sutton coldfield,
2011,,hairyŒlemonŒpubŒ.suttonŒcoldfield,hairy lemon pub .sutton coldfield,
2011,,HermatigeŒRoad,Hermatige Road,
2011,,HermatigeŒRoad,Hermatige Road,
2011,,HERMITAGEŒDRIVE,HERMITAGE DRIVE,
2011,,HighŒStreet,High Street,
2011,,highŒstreetŒerdington,high street erdington,
2011,," highŒstreet,Œerdington"," high street, erdington",
2011,," HighŒStreet,ŒErdington"," High Street, Erdington",
2011,," HighŒStreet,ŒS/C"," High Street, S/C",
2011,," HighŒStreet,ŒS/C"," High Street, S/C",
2011,,HightŒStŒErdINGTON,Hight St ErdINGTON,
2011,,HUNTONŒHILL,HUNTON HILL,
2011,," KFCŒretailŒoutletŒ,ŒErdingtonŒHighŒstreet"," KFC retail outlet , Erdington High street",
2011,," KingsburyŒRoad,ŒErdington,ŒB'ham"," Kingsbury Road, Erdington, B'ham",
2011,,KingstandingŒCircle,Kingstanding Circle,
2011,," LadywellŒWalk,ŒBirmingham"," Ladywell Walk, Birmingham",
2011,,LandsdownŒRoad,Landsdown Road,
2011,," LICHFIELDŒROAD,ŒMEREŒGREEN"," LICHFIELD ROAD, MERE GREEN",
2011,," LICHFIELDŒROAD,ŒSUTTONŒCOLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD",
2011,," LindridgeŒRoad,ŒSuttonŒColdfield"," Lindridge Road, Sutton Coldfield",
2011,,littleŒastonŒlane,little aston lane,
2011,,LONGFORDŒROAD,LONGFORD ROAD,
2011,," LongfordŒRoad,ŒKingstanding,ŒB'ham"," Longford Road, Kingstanding, B'ham",
2011,,lowerŒparade,lower parade,
2011,,LOWERŒPARADE,LOWER PARADE,
2011,,lowerŒparade,lower parade,
2011,,lowerŒparade,lower parade,
2011,,lowerŒparade,lower parade,
2011,,lowerŒparade,lower parade,
2011,,LOWERŒPARADE,LOWER PARADE,
2011,,LowerŒParade,Lower Parade,
2011,,LowerŒParade,Lower Parade,
2011,,LOWERŒPARADE,LOWER PARADE,
2011,,LowerŒParade,Lower Parade,
2011,,LOWERŒPARADE,LOWER PARADE,
2011,,LowerŒParade,Lower Parade,
2011,,LOWERŒPARADE,LOWER PARADE,
2011,,LOWERŒPARADE,LOWER PARADE,
2011,,LowerŒParade,Lower Parade,
2011,,LowerŒParade,Lower Parade,
2011,,LowerŒParade,Lower Parade,
2011,,LOWERŒPARADE,LOWER PARADE,
2011,,lowerŒparadeŒSC,lower parade SC,
2011,,LOWERŒPARADEŒSUTTON,LOWER PARADE SUTTON,
2011,,LowerŒParadeŒSuttonŒColdfield,Lower Parade Sutton Coldfield,
2011,," lowerŒparade,"," lower parade,",
2011,," LowerŒparade,ŒSutonŒColdfield"," Lower parade, Suton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," lowerŒparade,ŒsuttonŒcoldfield"," lower parade, sutton coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfield"," Lower Parade, Sutton Coldfield",
2011,," LowerŒParade,ŒSuttonŒColdfieldŒtownŒcentre"," Lower Parade, Sutton Coldfield town centre",
2011,," LowerŒParade,ŒSuttonŒColdfieldŒtownŒCentre"," Lower Parade, Sutton Coldfield town Centre",
2011,," LowerŒParade,ŒSuttonŒColdfield."," Lower Parade, Sutton Coldfield.",
2011,,lydhamŒclose,lydham close,
2011,,MillŒStreet,Mill Street,
2011,," MillŒStreet,ŒSuttonŒColdfield"," Mill Street, Sutton Coldfield",
2011,,moorŒhallŒhotel,moor hall hotel,
2011,," MulberryŒCourtŒCarpark,ŒKingsŒRoad,ŒKingstanding,ŒBirmingham"," Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham",
2011,,newhallŒwalkŒcarŒpark,newhall walk car park,
2011,,newhallŒwalkŒcarŒpark,newhall walk car park,
2011,,O/SŒH/A,O/S H/A,
2011,,O/sŒLittenŒTree,O/s Litten Tree,
2011,," O/SŒLittenŒTree,ŒS/CŒTownŒCentre"," O/S Litten Tree, S/C Town Centre",
2011,," O/SŒMooMooŒBar,ŒS/cŒTownŒCentre"," O/S MooMoo Bar, S/c Town Centre",
2011,," o/sŒmoomooŒbar,ŒSouthŒparade"," o/s moomoo bar, South parade",
2011,,o/sŒretro,o/s retro,
2011,," O/SŒRetroŒ,ŒSouthŒparade"," O/S Retro , South parade",
2011,,O/SŒRetros,O/S Retros,
2011,," O/SŒRoyalŒHotel,ŒLichfieldŒRoad"," O/S Royal Hotel, Lichfield Road",
2011,,o/sŒtempleŒbar,o/s temple bar,
2011,,O/SŒTempleŒBar,O/S Temple Bar,
2011,," O/SŒTempleŒBar,ŒHighŒStreet"," O/S Temple Bar, High Street",
2011,," O/sŒTempleŒBar,ŒLowerŒParadeŒSuttonŒColdfield."," O/s Temple Bar, Lower Parade Sutton Coldfield.",
2011,," O/SŒTempleŒBar,ŒS/CŒTownŒCentre"," O/S Temple Bar, S/C Town Centre",
2011,," o/sŒtempleŒbar,ŒsuttonŒcoldfield,ŒwestŒmilands"," o/s temple bar, sutton coldfield, west milands",
2011,,o/sŒtheŒhairyŒlemon,o/s the hairy lemon,
2011,,OnŒpavementŒoutsideŒTheŒRoyalŒHotel,On pavement outside The Royal Hotel,
2011,," OurtsideŒRoyalŒPub,ŒLichfieldŒRoad,ŒSuttonŒColdfield"," Ourtside Royal Pub, Lichfield Road, Sutton Coldfield",
2011,," outsideŒGlendaleŒTower,ŒLyndhurstŒEstate"," outside Glendale Tower, Lyndhurst Estate",
2011,," OutsideŒLittenŒTreeŒpub,ŒBirminghamŒRoad,ŒSuttonŒColdfield`"," Outside Litten Tree pub, Birmingham Road, Sutton Coldfield`",
2011,," OutsideŒMooŒMooŒClub,ŒTownŒCentre,ŒSuttonŒColdfield"," Outside Moo Moo Club, Town Centre, Sutton Coldfield",
2011,," OutsideŒMooŒMooŒnightŒclub,ŒSouthŒParade"," Outside Moo Moo night club, South Parade",
2011,," OutsideŒTempleŒParade,ŒLowerŒParade"," Outside Temple Parade, Lower Parade",
2011,," OutsideŒtheŒTempleŒBar,ŒLowerŒParade,ŒSC"," Outside the Temple Bar, Lower Parade, SC",
2011,,PARADEŒ.ŒSUTTONŒCOLDFIELD,PARADE . SUTTON COLDFIELD,
2011,,paradeŒSC,parade SC,
2011,,paradeŒsuttonŒcoldfield,parade sutton coldfield,
2011,,paradeŒsuttonŒcoldfield,parade sutton coldfield,
2011,,PARADEŒSUTTONŒCOLDFIELD,PARADE SUTTON COLDFIELD,
2011,,paradeŒsuttonŒtown,parade sutton town,
2011,," Parade,ŒSuttonŒColdfield"," Parade, Sutton Coldfield",
2011,," Parade,ŒSuttonŒColdfield"," Parade, Sutton Coldfield",
2011,," Parade,ŒSuttonŒTownŒCentre"," Parade, Sutton Town Centre",
2011,," ParkestonŒCrescent,ŒKinsgatnding,ŒB'ham"," Parkeston Crescent, Kinsgatnding, B'ham",
2011,,PLANTSŒGROVEŒERDINGTON,PLANTS GROVE ERDINGTON,
